file.num,file,sex,age,humidity,rec.time,temp,time.stamp,code,event,state,state.event,strike,pred.state,chasing,predator,date
4,10_26_12_a1f.csv,female,4,45,937,23,1056225,g,0,groom,groom,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1163402,y,ab_lift,groom,ab_lift,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1164027,y,ab_lift,groom,ab_lift,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1169340,e,0,inch,inch,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1173965,g,0,groom,groom,0,far,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1182934,3,0,groom,groom,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1196935,y,ab_lift,groom,ab_lift,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1197482,y,ab_lift,groom,ab_lift,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1198154,y,ab_lift,groom,ab_lift,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1198841,y,ab_lift,groom,ab_lift,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1199404,y,ab_lift,groom,ab_lift,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1199904,y,ab_lift,groom,ab_lift,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1200607,y,ab_lift,groom,ab_lift,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1204873,y,ab_lift,groom,ab_lift,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1210357,y,ab_lift,groom,ab_lift,0,close,0,spider,10_26_12
4,10_26_12_a1f.csv,female,4,45,937,23,1212670,y,ab_lift,groom,ab_lift,0,close,0,spider,10_26_12
