,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,strike,pred.state,chasing,file.num,date,predator
205,1_3_14,Female,3,FVW,20,1135,21,1018636,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
206,1_3_14,Female,3,FVW,20,1135,21,1020019,y,ab_lift,walk,0,far,0,2,1_3_14,nopred
207,1_3_14,Female,3,FVW,20,1135,21,1027219,g,0,groom,0,far,0,2,1_3_14,nopred
208,1_3_14,Female,3,FVW,20,1135,21,1197875,f,fly,groom,0,far,0,2,1_3_14,nopred
209,1_3_14,Female,3,FVW,20,1135,21,1198667,s,0,stop,0,far,0,2,1_3_14,nopred
210,1_3_14,Female,3,FVW,20,1135,21,1199983,w,0,walk,0,far,0,2,1_3_14,nopred
211,1_3_14,Female,3,FVW,20,1135,21,1203299,i,turn,walk,0,far,0,2,1_3_14,nopred
212,1_3_14,Female,3,FVW,20,1135,21,1204107,i,turn,walk,0,far,0,2,1_3_14,nopred
213,1_3_14,Female,3,FVW,20,1135,21,1205691,f,fly,walk,0,far,0,2,1_3_14,nopred
214,1_3_14,Female,3,FVW,20,1135,21,1208627,w,0,walk,0,far,0,2,1_3_14,nopred
215,1_3_14,Female,3,FVW,20,1135,21,1209556,s,0,stop,0,far,0,2,1_3_14,nopred
216,1_3_14,Female,3,FVW,20,1135,21,1211275,w,0,walk,0,far,0,2,1_3_14,nopred
217,1_3_14,Female,3,FVW,20,1135,21,1220392,r,0,run,0,far,0,2,1_3_14,nopred
218,1_3_14,Female,3,FVW,20,1135,21,1224172,w,0,walk,0,far,0,2,1_3_14,nopred
219,1_3_14,Female,3,FVW,20,1135,21,1247167,s,0,stop,0,far,0,2,1_3_14,nopred
220,1_3_14,Female,3,FVW,20,1135,21,1248560,w,0,walk,0,far,0,2,1_3_14,nopred
221,1_3_14,Female,3,FVW,20,1135,21,1306546,g,0,groom,0,far,0,2,1_3_14,nopred
222,1_3_14,Female,3,FVW,20,1135,21,1328646,w,0,walk,0,far,0,2,1_3_14,nopred
223,1_3_14,Female,3,FVW,20,1135,21,1337063,s,0,stop,0,far,0,2,1_3_14,nopred
224,1_3_14,Female,3,FVW,20,1135,21,1338456,w,0,walk,0,far,0,2,1_3_14,nopred
225,1_3_14,Female,3,FVW,20,1135,21,1389874,s,0,stop,0,far,0,2,1_3_14,nopred
226,1_3_14,Female,3,FVW,20,1135,21,1390739,f,fly,stop,0,far,0,2,1_3_14,nopred
227,1_3_14,Female,3,FVW,20,1135,21,1391322,s,0,stop,0,far,0,2,1_3_14,nopred
228,1_3_14,Female,3,FVW,20,1135,21,1392410,w,0,walk,0,far,0,2,1_3_14,nopred
229,1_3_14,Female,3,FVW,20,1135,21,1402074,r,0,run,0,far,0,2,1_3_14,nopred
230,1_3_14,Female,3,FVW,20,1135,21,1404296,w,0,walk,0,far,0,2,1_3_14,nopred
231,1_3_14,Female,3,FVW,20,1135,21,1410243,h,0,timeout,0,far,0,2,1_3_14,nopred
232,1_3_14,Female,3,FVW,20,1135,21,1451664,w,0,walk,0,far,0,2,1_3_14,nopred
233,1_3_14,Female,3,FVW,20,1135,21,1460935,h,0,timeout,0,far,0,2,1_3_14,nopred
234,1_3_14,Female,3,FVW,20,1135,21,1477211,f,fly,timeout,0,far,0,2,1_3_14,nopred
235,1_3_14,Female,3,FVW,20,1135,21,1478699,s,0,stop,0,far,0,2,1_3_14,nopred
236,1_3_14,Female,3,FVW,20,1135,21,1482636,g,0,groom,0,far,0,2,1_3_14,nopred
237,1_3_14,Female,3,FVW,20,1135,21,1485995,w,0,walk,0,far,0,2,1_3_14,nopred
238,1_3_14,Female,3,FVW,20,1135,21,1530042,g,0,groom,0,far,0,2,1_3_14,nopred
239,1_3_14,Female,3,FVW,20,1135,21,1603164,w,0,walk,0,far,0,2,1_3_14,nopred
240,1_3_14,Female,3,FVW,20,1135,21,1616323,r,0,run,0,far,0,2,1_3_14,nopred
241,1_3_14,Female,3,FVW,20,1135,21,1618437,s,0,stop,0,far,0,2,1_3_14,nopred
242,1_3_14,Female,3,FVW,20,1135,21,1618795,f,fly,stop,0,far,0,2,1_3_14,nopred
243,1_3_14,Female,3,FVW,20,1135,21,1619532,s,0,stop,0,far,0,2,1_3_14,nopred
244,1_3_14,Female,3,FVW,20,1135,21,1621068,f,fly,stop,0,far,0,2,1_3_14,nopred
245,1_3_14,Female,3,FVW,20,1135,21,1622300,w,0,walk,0,far,0,2,1_3_14,nopred
246,1_3_14,Female,3,FVW,20,1135,21,1622997,f,fly,walk,0,far,0,2,1_3_14,nopred
247,1_3_14,Female,3,FVW,20,1135,21,1624875,w,0,walk,0,far,0,2,1_3_14,nopred
248,1_3_14,Female,3,FVW,20,1135,21,1635814,j,jump,walk,0,far,0,2,1_3_14,nopred
249,1_3_14,Female,3,FVW,20,1135,21,1637007,w,0,walk,0,far,0,2,1_3_14,nopred
250,1_3_14,Female,3,FVW,20,1135,21,1683806,i,turn,walk,0,far,0,2,1_3_14,nopred
251,1_3_14,Female,3,FVW,20,1135,21,1738432,j,jump,walk,0,far,0,2,1_3_14,nopred
252,1_3_14,Female,3,FVW,20,1135,21,1739961,w,0,walk,0,far,0,2,1_3_14,nopred
253,1_3_14,Female,3,FVW,20,1135,21,1741288,f,fly,walk,0,far,0,2,1_3_14,nopred
254,1_3_14,Female,3,FVW,20,1135,21,1742280,s,0,stop,0,far,0,2,1_3_14,nopred
255,1_3_14,Female,3,FVW,20,1135,21,1743200,w,0,walk,0,far,0,2,1_3_14,nopred
256,1_3_14,Female,3,FVW,20,1135,21,1759729,s,0,stop,0,far,0,2,1_3_14,nopred
257,1_3_14,Female,3,FVW,20,1135,21,1764657,w,0,walk,0,far,0,2,1_3_14,nopred
258,1_3_14,Female,3,FVW,20,1135,21,1830852,g,0,groom,0,far,0,2,1_3_14,nopred
